,시.도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
0,서울,0.68,0.5919999999999999,0.4919999999999999,0.3960000000000001,0.3960000000000001,0.4000000000000001,0.384,0.3079999999999999,0.356,0.488,0.564,0.5879999999999999
1,경기,0.6420454545454549,0.5397849462365591,0.4537634408602147,0.3937499999999996,0.4132653061224485,0.431632653061224,0.3949999999999994,0.3484848484848485,0.3959999999999994,0.4702970297029699,0.5333333333333333,0.5747572815533984
2,인천,0.6799999999999998,0.6099999999999998,0.55,0.4500000000000002,0.4600000000000001,0.4350000000000001,0.4210526315789475,0.3277777777777777,0.4041666666666668,0.4791666666666667,0.5541666666666666,0.6041666666666665
3,대구,0.7307692307692307,0.6,0.4266666666666667,0.38,0.36,0.3666666666666666,0.3733333333333333,0.2933333333333333,0.35,0.4214285714285715,0.4800000000000001,0.5266666666666666
4,제주,0.3666666666666667,0.3833333333333333,0.3,0.3,0.3,0.25,0.1999999999999999,0.1999999999999999,0.2666666666666666,0.2666666666666666,0.2833333333333333,0.3333333333333333
