,시.도,시군구,"월평균
(ppm)"
0,서울,중구,0.4
1,서울,종로구,0.4
2,서울,중랑구,0.4
3,서울,동대문구,0.4
4,서울,은평구,0.4
5,서울,마포구,0.4
6,서울,영등포구,0.4
7,서울,동작구,0.4
8,서울,관악구,0.4
9,서울,강남구,0.4
10,서울,금천구,0.4
11,서울,강동구,0.4
12,서울,강북구,0.4
13,서울,성북구,0.5
14,서울,용산구,0.4
15,서울,광진구,0.5
16,서울,성동구,0.3
17,서울,도봉구,0.3
18,서울,서대문구,0.4
19,서울,구로구,0.2
20,서울,서초구,0.2
21,서울,강서구,0.4
22,서울,송파구,0.4
23,서울,양천구,0.4
24,서울,노원구,0.4
25,경기남부,,0.4061538461538459
26,경기북부,,0.38666666666666666
27,경기동부,,0.36500000000000005
28,인천,,0.42105263157894757
29,대구,,0.37333333333333335
